character,romaji,meaning
政,sei/matsuri,"politics, government"
保,ho/tamo,"protect, preserve"
所,sho/tokoro,place
経,kei/he,"manage, pass through"
応,ou,respond
旅,ryo/tabi,"trip, travel"
想,sou/omo,"concept, think"
告,koku/tsu,announce
調,chou/shira,"investigate, tune"
連,ren/tsura,connect
初,sho/hatsu,"first, beginning"
続,zoku/tsuzu,continue
少,shou/suku,"few, little"
急,kyuu/iso,"sudden, hurry"
守,shu/mamo,"protect, obey"
起,ki/o,"wake, occur"
転,ten/koro,"turn, roll"
勝,shou/ka,win
負,fu/ma,"lose, bear"
務,mu/tsuto,duty
命,mei/inochi,"life, command"
算,san,calculate
達,tatsu,attain
術,jutsu,"art, technique"
関,kan/seki,"relation, barrier"
要,you/iru,"need, require"
価,ka/atai,"value, price"
差,sa/sasu,difference
利,ri,"benefit, advantage"
熱,netsu/atsu,"heat, fever"
際,sai/kiwa,occasion
察,satsu,guess
提,tei/sage,propose
案,an,plan
導,dou/michi,guide
設,setsu,establish
備,bi/sona,prepare
制,sei,"system, control"
増,zou/fu,increase
減,gen/he,decrease
選,sen/era,choose
残,zan/noko,remain
断,dan/tatsu,"decide, cut"
許,kyo/yuru,permit
可,ka,possible
否,hi,negate
認,nin/mito,recognize
識,shiki,discern
在,zai/aru,exist
非,hi,non-
常,jou/tsune,usual
必,hitsu/kanara,certain
然,zen/nen,so
果,ka/hata,"result, fruit"
因,in/yori,cause
議,gi,deliberation
論,ron,argument
検,ken,examine
査,sa,investigate
職,shoku,occupation
接,setsu/tsu,connect
客,kyaku,guest
倍,bai,double
税,zei,tax
費,hi/tsui,expense
給,kyuu/tama,supply
管,kan/kuda,"pipe, manage"
営,ei/itona,operate
属,zoku,belong
任,nin/maka,entrust
