character,romaji,meaning
会,kai/a,"meeting, association"
同,dou/onaji,"same, agree"
事,ji/koto,"matter, thing"
自,ji/mizu,self
動,dou/ugo,move
内,nai/uchi,inside
時,ji/toki,time
者,sha/mono,person
作,saku/tsuku,make
思,shi/omo,think
住,ju/su,"live, reside"
知,chi/shi,know
場,jou/ba,place
名,mei/na,name
何,nan/nani,what
体,tai/karada,body
化,ka/baka,change
主,shu/omo,"main, master"
心,shin/kokoro,"heart, mind"
対,tai,"opposite, versus"
間,kan/aida,"interval, between"
相,sou/ai,"mutual, phase"
意,i,"meaning, intention"
野,ya/no,"field, plain"
開,kai/hira,open
全,zen/sube,"all, whole"
定,tei/sada,"decide, fixed"
家,ka/ie,"house, family"
方,hou/kata,"direction, way"
代,dai/ka,"generation, substitute"
道,dou/michi,"road, way"
海,kai/umi,sea
空,kuu/sora,sky
店,ten/mise,shop
駅,eki,station
市,shi/ichi,city
町,chou/machi,town
村,son/mura,village
県,ken,prefecture
都,to/miyako,metropolis
府,fu,urban prefecture
近,kin/chika,near
遠,en/too,far
明,mei/aka,bright
暗,an/kura,dark
夜,ya/yoru,night
朝,chou/asa,morning
昼,chuu/hiru,noon
教,kyou/oshi,teach
強,kyou/tsuyo,strong
弱,jaku/yowa,weak
持,ji/mo,hold
使,shi/tsuka,use
待,tai/ma,wait
走,sou/hashi,run
歩,ho/aru,walk
泳,ei/oyo,swim
乗,jou/no,ride
降,kou/o,descend
着,chaku/ki,arrive
死,shi/shi,die
病,bou/yamai,sick
院,in,institution
薬,yaku/kusuri,medicine
歌,ka/uta,song
画,ga/kaku,picture
界,kai,world
問,mon/to,question
答,tou/kota,answer
仕,shi/tsuka,serve
