,牛,,,,ギュウ ウ,,,,,,cow
,魚,,,,ギョ -ザカ,,,うお さかな,,,fish
兄,,,,,ケイ キョウ,,,,,"elder brother, big brother"
,,,,,ア
,犬,,,,ケン,,,いぬ いぬ-,,,dog
,妹,,,,マイ イモウ,,,,,,younger sister
,姉,,,,シ,,,あね はは,,,elder sister
,漢,,,,カ,,,,,,"Sino-, China"
