JLPT N4 Kanji List
This is not a cumulative list. (It doesn't contain the kanji needed by JLPT N5).
Kanji,,,Onyomi,,,Kunyomi,,,English
会,,,,カイ エ,,あ.う あ.わせる,,,,"meeting, meet, party,"
,,,,アツ.マ,,,,,,"association, interview, join"
,同,,,ドウ,,,おな.じ,,,"same, agree, equal"
事,,,ジ ズ ツカ.エ,,,こと つか.う,,,,"matter, thing, fact, business,"
,,,,,,,,,,"reason, possibly"
,自,,,ジ シ オノ.ズ,,,みずか.ら おの.ずから,,,oneself
社,,,シャ ヤシ,,,,,,,"company, firm, office,"
,,,,,,,,,,"association, shrine"
発,,,,ハツ ホツ,,た.つ あば.く おこ.る つか.わす,,,,"discharge, departure, publish,"
,,,,ハナ.,,,,,,"emit, start from, disclose"
,者,,,シャ,,,もの,,,"someone, person"
,地,,,チ,,,,,,"ground, earth"
業,,,,ギョウ ゴウ,,,,,,"business, vocation, arts,"
,,,,ワ,,,,,,performance
,方,,,ホウ -ガ,,,かた -かた,,,"direction, person, alternative"
,新,,,シン,,,あたら.しい あら.た あら- にい,,,new
,場,,,ジョウ チョウ,,,ば,,,"location, place"
員,,,イ,,,,,,,"employee, member, number,"
,,,,,,,,,,the one in charge
立,,,,リツ リュウ,,,た.つ -た.つ た.ち- た.てる -,,stand up
,,,,リットル -,,,た.てる た.て- たて- -た.て -
,,,,ダ.テ,,,だ.て
