,習,,,,シュウ ジュ,,,なら.う なら.い,,,learn
,駅,,,,エキ,,,,,,station
,洋,,,,ヨ,,,,,,"ocean, western style"
,旅,,,,リョ,,,たび,,,"trip, travel"
服,,,,フ,,,,,,,"clothing, admit, obey,"
,,,,,,,,,,,discharge
,夕,,,,セキ ユ,,,,,,evening
,借,,,,シャク,,,か.りる,,,"borrow, rent"
,曜,,,,ヨ,,,,,,weekday
,飲,,,,イン オン,,,の.む -の.み,,,"drink, smoke, take"
,肉,,,,ニク,,,,,,meat
,貸,,,,タイ,,,か.す か.し- かし-,,,lend
,堂,,,,ドウ,,,,,,"public chamber, hall"
,鳥,,,,チョウ ト,,,,,,"bird, chicken"
,飯,,,,ハン メ,,,,,,"meal, boiled rice"
,勉,,,,ベン ツト.メ,,,,,,exertion
,冬,,,,トウ,,,ふゆ,,,winter
,昼,,,,チュウ,,,ひる,,,"daytime, noon"
,茶,,,,チャ,,,,,,tea
弟,,,,,テイ ダイ デ,,,,,,"younger brother, faithful"
,,,,,オトウ,,,,,,service to elders
