,,,,,,,,,,,"now on, just about"
,幅,,,,フク,,,はば,,,"hanging scroll, width"
,般,,,,ハン,,,,,,"carrier, carry, all"
,貿,,,,ボウ,,,,,,"trade, exchange"
,講,,,,コウ,,,,,,"lecture, club, association"
,林,,,,リン ハヤ,,,,,,"grove, forest"
装,,,,ソウ ショウ,,,よそお.う よそお.い,,,,"attire, dress, pretend, disguise,"
,,,,,,,,,,,profess
,諸,,,,ショ,,,もろ,,,"various, many, several, together"
,劇,,,,ゲキ,,,,,,"drama, play"
,河,,,,カ カ,,,,,,river
,航,,,,コ,,,,,,"navigate, sail, cruise, fly"
,鉄,,,,テツ クロガ,,,,,,iron
児,,,,ジ ニ ゲイ -ッ,,,こ -こ,,,,"newborn babe, child, young of"
,,,,,,,,,,,animals
,禁,,,,キン,,,,,,"prohibition, ban, forbid"
印,,,,イン,,,しるし -じるし しる.す,,,,"stamp, seal, mark, imprint,"
,,,,,,,,,,,"symbol, emblem, trademark,"
,,,,,,,,,,,"evidence, souvenir, India"
逆,,,,ギャク ゲキ,,,さか さか.さ さか.らう,,,,"inverted, reverse, opposite,"
,,,,,,,,,,,wicked
換,,,,カン,,,か.える -か.える か.わる,,,,"interchange, period, charge,"
,,,,,,,,,,,change?
,久,,,,キュウ ク,,,,,,"long time, old story"
