埋,,,,マイ,,,,う.める う.まる う.もれる,,"bury, be filled up, embedded"
,,,,,,,,うず.める うず.まる
,,,,,,,,い.ける
,柱,,,,チュウ,,,はしら,,,"pillar, post, cylinder, support"
祭,,,,サイ,,,まつ.る まつ.り まつり,,,,"ritual, offer prayers, celebrate,"
,,,,,,,,,,,"deify, enshrine, worship"
,袋,,,,タイ ダイ フク,,,,,,"sack, bag, pouch"
筆,,,,ヒツ フ,,,,,,,"writing brush, writing, painting"
,,,,,,,,,,,"brush, handwriting"
訓,,,,,クン キン,,おし.える よ.む,,,,"instruction, Japanese character"
,,,,,クン.ズ,,,,,,"reading, explanation, read"
,浴,,,,ヨク ア.ビセ,,,あ.びる,,,"bathe, be favored with, bask in"
,童,,,,ドウ ワラ,,,,,,"juvenile, child"
,宝,,,,ホウ タカ,,,,,,"treasure, wealth, valuables"
,封,,,,フウ ホウ,,,,,,"seal, closing"
胸,,,,キョウ,,,むね むな-,,,,"bosom, breast, chest, heart,"
,,,,,,,,,,,feelings
,砂,,,,サ シャ ス,,,,,,sand
,塩,,,,エン,,,しお,,,salt
賢,,,,ケン カシコ.,,,,,,,"intelligent, wise, wisdom,"
,,,,,,,,,,,cleverness
,腕,,,,ワン,,,うで,,,"arm, ability, talent"
兆,,,,チョウ,,,きざ.す きざ.し,,,,"portent, 10**12, trillion, sign,"
,,,,,,,,,,,"omen, symptoms"
,床,,,,ショウ,,,とこ ゆか,,,"bed, floor, padding, tatami"
