,島,,,,トウ,,,しま,,,island
革,,,,カク,,,かわ,,,,"leather, become serious, skin,"
,,,,,,,,,,,"hide, pelt"
,村,,,,ソン ム,,,,,,"town, village"
,勢,,,,セイ ゼイ ハズ,,,いきお.い,,,"forces, energy, military strength"
減,,,,ゲン,,,へ.る へ.らす,,,,"dwindle, decrease, reduce,"
,,,,,,,,,,,"decline, curtail, get hungry"
,再,,,,サイ サ フタタ.,,,,,,"again, twice, second time"
,税,,,,ゼ,,,,,,"tax, duty"
営,,,,エイ,,,いとな.む いとな.み,,,,"occupation, camp, perform, build,"
,,,,,,,,,,,conduct (business)
,比,,,,ヒ クラ.ベ,,,,,,"compare, race, ratio, Philipines"
,防,,,,ボウ フセ.,,,,,,"ward off, defend, protect, resist"
補,,,,ホ,,,おぎな.う,,,,"supplement, supply, make good,"
,,,,,,,,,,,"offset, compensate, assistant,"
,,,,,,,,,,,learner
境,,,,,キョウ ケイ,,,,,"boundary, border, region"
,,,,,サカ
,導,,,,ドウ ミチビ.,,,,,,"guidance, leading, conduct, usher"
,副,,,,フ,,,,,,"vice-, duplicate, copy"
算,,,,サン,,,そろ,,,,"calculate, divining, number,"
,,,,,,,,,,,"abacus, probability"
,輸,,,,ユ シュ,,,,,,"transport, send, be inferior"
,述,,,,ジュツ,,,の.べる,,,"mention, state, speak, relate"
