,爆,,,,バク,,,は.ぜる,,,"bomb, burst open, pop, split"
,陸,,,,リク ロク オ,,,,,,"land, six"
,玉,,,,ギョク -ダ,,,たま たま-,,,"jewel, ball"
,波,,,,ハ ナ,,,,,,"waves, billows, Poland"
,帯,,,,タイ オ,,,お.びる,,,"sash, belt, obi, zone, region"
,延,,,,エン ノ.バ,,,の.びる の.べる の.べ,,,"prolong, stretching"
,羽,,,,ウ ハ,,,は わ,,,"feathers, counter for birds, rabbits"
固,,,,コ,,,,かた.める かた.まる,,"harden, set, clot, curdle"
,,,,,,,,かた.まり かた.い
,則,,,,ソク ノット.,,,,,,"rule, follow, based on, model after"
乱,,,,ラン ロン ワタ.,,,,みだ.れる みだ.る みだ.す,,"riot, war, disorder, disturb"
,,,,,,,,みだ おさ.める
普,,,,フ アマネ,,,あまね.く,,,,"universal, wide(ly), generally,"
,,,,,,,,,,,Prussia
,測,,,,ソク,,,はか.る,,,"fathom, plan, scheme, measure"
,豊,,,,ホウ ブ ト,,,ゆた.か,,,"bountiful, excellent, rich"
厚,,,,コウ ア,,,あつ.い,,,,"thick, heavy, rich, kind, cordial,"
,,,,,,,,,,,"brazen, shameless"
,齢,,,,レイ,,,よわ.い とし,,,age
囲,,,,イ,,,かこ.む かこ.う かこ.い,,,,"surround, besiege, store, paling,"
,,,,,,,,,,,"enclosure, encircle, preserve,"
,,,,,,,,,,,keep
卒,,,,ソツ シュツ,,,,そっ.する お.える お.わる,,"graduate, soldier, private, die"
,,,,,,,,ついに にわか
