汚,,,,オ,,,,けが.す けが.れる,,"dirty, pollute, disgrace, rape, defile"
,,,,,,,,けが.らわしい よご.す
,,,,,,,,よご.れる きたな.い
枚,,,,マイ バ,,,,,,,"sheet of..., counter for flat thin"
,,,,,,,,,,,objects or sheets
複,,,,フク,,,,,,,"duplicate, double, compound,"
,,,,,,,,,,,multiple
,郵,,,,ユウ,,,,,,"mail, stagecoach stop"
,仲,,,,チュウ ナ,,,,,,"go-between, relationship"
栄,,,,エイ ヨウ,,,,さか.える は.え -ば.え,,,"flourish, prosperity, honor, glory,"
,,,,,,,,は.える,,,splendor
札,,,,サツ フ,,,,,,,"tag, paper money, counter for"
,,,,,,,,,,,"bonds, placard, bid"
,板,,,,ハン バン,,,いた,,,"plank, board, plate, stage"
,骨,,,,コツ,,,ほね,,,"skeleton, bone, remains, frame"
傾,,,,ケイ,,,,かたむ.く かたむ.ける,,"lean, incline, tilt, trend, wane, sink, ruin, bias"
,,,,,,,,かたぶ.く かた.げる
,,,,,,,,かし.げる
届,,,,カイ,,,とど.ける -とど.け とど.く,,,,"deliver, reach, arrive, report,"
,,,,,,,,,,,"notify, forward"
巻,,,,カン ケン,,,ま.く まき ま.き,,,,"scroll, volume, book, part, roll up,"
,,,,,,,,,,,"wind up, tie, coil, counter for texts"
,,,,,,,,,,,(or book scrolls)
,燃,,,,ネン,,,も.える も.やす も.す,,,"burn, blaze, glow"
,跡,,,,セキ,,,あと,,,"tracks, mark, print, impression"
,包,,,,ホウ クル.,,,つつ.む,,,"wrap, pack up, cover, conceal"
