,駐,,,,チュウ,,,,,,"stop-over, reside in, resident"
弱,,,,ジャク,,,,よわ.い よわ.る よわ.まる,,"weak, frail"
,,,,,,,,よわ.める
,紹,,,,ショ,,,,,,"introduce, inherit, help"
,雇,,,,コ,,,やと.う,,,"employ, hire"
,替,,,,タイ カ.ワ,,,か.える か.え-,,,"exchange, spare, substitute, per-"
預,,,,ヨ,,,あず.ける あず.かる,,,,"deposit, custody, leave with,"
,,,,,,,,,,,entrust to
,焼,,,,ショウ ヤ.ケ,,,や.く や.き や.き- -や.き,,,"bake, burning"
,簡,,,,カン,,,,,,"simplicity, brevity"
章,,,,ショ,,,,,,,"badge, chapter, composition,"
,,,,,,,,,,,"poem, design"
,臓,,,,ゾウ,,,はらわた,,,"entrails, viscera, bowels"
律,,,,リツ リチ レ,,,,,,,"rhythm, law, regulation, gauge,"
,,,,,,,,,,,control
贈,,,,ゾウ ソウ,,,おく.る,,,,"presents, send, give to, award to,"
,,,,,,,,,,,"confer on, presenting something"
照,,,,ショウ テ.レ,,,て.る て.らす,,,,"illuminate, shine, compare,"
,,,,,,,,,,,bashful
薄,,,,ハク,,,,うす.い うす- -うす,,"dilute, thin, weak (tea)"
,,,,,,,,うす.める うす.まる
,,,,,,,,うす.らぐ うす.ら-
,,,,,,,,うす.れる すすき
群,,,,グン ムラ.ガ,,,む.れる む.れ むら,,,,"flock, group, crowd, herd, swarm,"
,,,,,,,,,,,cluster
,秒,,,,ビョウ,,,,,,"second (1, 60 minute)"
