,奥,,,,オウ オク ク,,,おく.まる,,,"heart, interior"
詰,,,,キツ キチ ツ.,,,,つ.める つ.め -づ.め,,,"packed, close, pressed, reprove,"
,,,,,,,,つ.まる,,,"rebuke, blame"
双,,,,ソウ フタ,,,ふた たぐい ならぶ,,,,"pair, set, comparison, counter for"
,,,,,,,,,,,pairs
刺,,,,シ,,,,さ.す さ.さる さ.し さし,,,"thorn, pierce, stab, prick, sting,"
,,,,,,,,とげ,,,calling card
純,,,,ジュ,,,,,,,"genuine, purity, innocence, net"
,,,,,,,,,,,(profit)
,翌,,,,ヨク,,,,,,"the following, next"
快,,,,カイ ココロヨ.,,,,,,,"cheerful, pleasant, agreeable,"
,,,,,,,,,,,comfortable
,片,,,,ヘン,,,かた- かた,,,"one-sided, leaf, sheet"
敬,,,,,ケイ キョウ,,,,,"awe, respect, honor, revere"
,,,,,ウヤマ.
悩,,,,ノウ,,,,なや.む なや.ます,,,"trouble, worry, in pain, distress,"
,,,,,,,,なや.ましい なやみ,,,illness
,泉,,,,セン イズ,,,,,,"spring, fountain"
,皮,,,,,,,けがわ,,,"pelt, skin, hide, leather"
,漁,,,,ギョ リョウ,,,あさ.る,,,"fishing, fishery"
荒,,,,コウ スサ.,,,,あら.い あら- あ.れる,,"laid waste, rough, rude, wild"
,,,,,,,,あ.らす -あ.らし
貯,,,,チョ,,,た.める たくわ.える,,,,"savings, store, lay in, keep, wear"
,,,,,,,,,,,mustache
,硬,,,,コウ,,,かた.い,,,"stiff, hard"
