,復,,,,フク,,,また,,,"restore, return to, revert, resume"
移,,,,イ,,,うつ.る うつ.す,,,,"shift, move, change, drift, catch"
,,,,,,,,,,,"(cold, fire), pass into"
個,,,,コ カ,,,,,,,"individual, counter for articles and"
,,,,,,,,,,,military units
,門,,,,モン,,,かど,,,gates
課,,,,カ,,,,,,,"chapter, lesson, section,"
,,,,,,,,,,,"department, division, counter for"
,,,,,,,,,,,chapters (of a book)
,脳,,,,ノウ ドウ,,,のうずる,,,"brain, memory"
極,,,,キョク ゴク,,,きわ.める きわ.まる きわ.まり きわ.み き.める - ぎ.め き.まる,,,,"poles, settlement, conclusion,"
,,,,,,,,,,,"end, highest rank, electric poles,"
,,,,,,,,,,,"very, extremely, most, highly,"
,,,,,,,,,,,10**48
含,,,,ガン,,,ふく.む ふく.める,,,,"include, bear in mind, understand,"
,,,,,,,,,,,cherish
蔵,,,,,ゾウ ソウ,,くら おさ.める,,,,"storehouse, hide, own, have,"
,,,,,カク.レ,,,,,,possess
量,,,,リョウ ハカ.,,,,,,,"quantity, measure, weight,"
,,,,,,,,,,,"amount, consider, estimate,"
,,,,,,,,,,,surmise
,型,,,,ケイ,,,かた -がた,,,"mould, type, model"
況,,,,キョウ,,,,まし.て いわ.んや,,"condition, situation"
,,,,,,,,おもむき
,針,,,,シン ハ,,,,,,"needle, pin, staple, stinger"
専,,,,セン,,,もっぱ.ら,,,,"specialty, exclusive, mainly,"
,,,,,,,,,,,solely
,谷,,,,コク キワ.マ,,,たに,,,valley
