,守,,,,シュ ス カ,,,まも.る まも.り もり -もり,,,"guard, protect, defend, obey"
若,,,,,ジャク ニャク,,,わか.い わか- も.しくわ,,,"young, if, perhaps, possibly, low"
,,,,,ニャ モ.シク,,,も.し,,,"number, immature"
種,,,,シュ -グ,,,たね,,,,"species, kind, class, variety,"
,,,,,,,,,,,seed
,美,,,,ビ ミ ウツク.シ,,,,,,"beauty, beautiful"
命,,,,メイ ミョウ,,,いのち,,,,"fate, command, decree, destiny,"
,,,,,,,,,,,"life, appoint"
,福,,,,フ,,,,,,"blessing, fortune, luck, wealth"
望,,,,ボウ モウ モ,,,のぞ.む,,,,"ambition, full moon, hope, desire,"
,,,,,,,,,,,"aspire to, expect"
非,,,,ヒ,,,あら.ず,,,,"un-, mistake, negative, injustice,"
,,,,,,,,,,,non-
観,,,,カン,,,み.る しめ.す,,,,"outlook, look, appearance,"
,,,,,,,,,,,"condition, view"
察,,,,サツ,,,,,,,"guess, presume, surmise, judge,"
,,,,,,,,,,,understand
,段,,,,ダン タン,,,,,,"grade, steps, stairs"
横,,,,オウ,,,よこ,,,,"sideways, side, horizontal, width,"
,,,,,,,,,,,woof
深,,,,シン,,,,ふか.い -ぶか.い ふか.まる,,,"deep, heighten, intensify,"
,,,,,,,,ふか.める み-,,,strengthen
申,,,,シン,,,もう.す もう.し- さる,,,,"have the honor to, sign of the"
,,,,,,,,,,,"monkey, 3-5PM, ninth sign of"
,,,,,,,,,,,Chinese zodiac
様,,,,ヨウ ショウ,,,さま さん,,,,"Esq., way, manner, situation,"
,,,,,,,,,,,polite suffix
