,吸,,,,キュウ,,,す.う,,,"suck, imbibe, inhale, sip"
陽,,,,ヨウ,,,,,,,"sunshine, yang principle,"
,,,,,,,,,,,"positive, male, heaven, daytime"
,御,,,,ギョ ゴ,,,おん- お- み,,,"honorable, manipulate, govern"
歯,,,,シ,,,,よわい は よわ.い,,"tooth, cog"
,,,,,,,,よわい.する
,忘,,,,ボウ,,,わす.れる,,,forget
,雪,,,,セツ ユ,,,,,,snow
,吹,,,,スイ フ.,,,,,,"blow, breathe, puff, emit, smoke"
,娘,,,,ジョウ,,,むすめ こ,,,"daughter, girl"
,誤,,,,ゴ,,,あやま.る -あやま.る,,,"mistake, err, do wrong, mislead"
,洗,,,,セン アラ.,,,,,,"wash, inquire into, probe"
慣,,,,カン,,,な.れる な.らす,,,,"accustomed, get used to,"
,,,,,,,,,,,become experienced
礼,,,,レイ ラ,,,,,,,"salute, bow, ceremony, thanks,"
,,,,,,,,,,,remuneration
,窓,,,,ソウ ス,,,まど てんまど けむだし,,,"window, pane"
昔,,,,セキ シャク,,,むかし,,,,"once upon a time, antiquity, old"
,,,,,,,,,,,times
,貧,,,,ヒン ビン,,,まず.しい,,,"poverty, poor"
,怒,,,,ド ヌ,,,いか.る おこ.る,,,"angry, be offended"
,泳,,,,エイ,,,およ.ぐ,,,swim
,祖,,,,,,,,,,"ancestor, pioneer, founder"
