当,,,,トウ マサ.ニベ,,,,あ.たる あ.たり あ.てる,,"hit, right, appropriate, himself"
,,,,,,,,あ.て まさ.に
,約,,,,ヤク,,,,,,"promise, approximately, shrink"
,首,,,,シュ ク,,,,,,neck
法,,,,,ホウ ハッ ホッ,,,,,,"method, law, rule, principle,"
,,,,,フラン ノ,,,,,,"model, system"
,性,,,,セイ ショウ,,,さが,,,"sex, gender, nature"
要,,,,ヨウ イ.,,,,,,,"need, main point, essence, pivot,"
,,,,,,,,,,,key to
,制,,,,セイ,,,,,,"system, law, rule"
治,,,,ジ チ ナオ.,,,おさ.める おさ.まる なお.る,,,,"reign, be at peace, calm down,"
,,,,,,,,,,,"subdue, quell, govt, cure, heal,"
,,,,,,,,,,,"rule, conserve"
,務,,,,ム ツト.メ,,,,,,"task, duties"
成,,,,セイ ジョウ -ナ.,,,な.る な.す,,,,"turn into, become, get, grow,"
,,,,,,,,,,,"elapse, reach"
,期,,,,キ ゴ,,,,,,"period, time, date, term"
,取,,,,シュ -ド.,,,と.る と.り と.り- とり,,,"take, fetch, take up"
,都,,,,ト ツ ミヤ,,,,,,"metropolis, capital"
和,,,,ワ オ カ ナゴ.ヤ,,,,やわ.らぐ やわ.らげる,,,"harmony, Japanese style, peace,"
,,,,,,,,なご.む,,,"soften, Japan"
機,,,,キ,,,はた,,,,"mechanism, opportunity,"
,,,,,,,,,,,"occasion, machine, airplane"
平,,,,,ヘイ ビョウ,,たい.ら -だいら ひら ひら,,,"even, flat, peace"
,,,,,ヒョウ
