,,,,,,,,,,,place
,太,,,,タイ タ フト.,,,ふと.い,,,"plump, thick, big around"
,客,,,,キャク カク,,,,,,"guest, visitor, customer, client"
否,,,,ヒ,,,いな いや,,,,"negate, no, noes, refuse,"
,,,,,,,,,,,"decline, deny"
師,,,,,,,,,,,"expert, teacher, master, army,"
,,,,,,,,,,,war
登,,,,,トウ ト ドウ,,のぼ.る,,,"ascend, climb up"
,,,,,ショウ チョウ
,,,,,ア.ガ
易,,,,エキ イ,,,やさ.しい やす.い,,,,"easy, ready to, simple, fortune-"
,,,,,,,,,,,"telling, divination"
,速,,,,ソク スミ.ヤ,,,はや.い はや- はや.める,,,"quick, fast"
存,,,,ソン ゾ,,,,,,,"suppose, be aware of, believe,"
,,,,,,,,,,,feel
,飛,,,,ヒ -ト.バ,,,と.ぶ と.ばす,,,"fly, skip (pages), scatter"
殺,,,,サツ サイ セツ,,,ころ.す -ごろ.し そ.ぐ,,,,"kill, murder, butcher, slice off,"
,,,,,,,,,,,"split, diminish, reduce, spoil"
号,,,,ゴウ,,,さけ.ぶ よびな,,,,"nickname, number, item, title,"
,,,,,,,,,,,"pseudonym, name, call"
,単,,,,タン,,,ひとえ,,,"simple, one, single, merely"
座,,,,ザ,,,すわ.る,,,,"squat, seat, cushion, gathering,"
,,,,,,,,,,,sit
破,,,,ハ ヤブ.レ,,,やぶ.る,,,,"rend, rip, tear, break, destroy,"
,,,,,,,,,,,"defeat, frustrate"
除,,,,ジョ ジ,,,のぞ.く -よ.け,,,,"exclude, division (x, 3), remove,"
,,,,,,,,,,,"abolish, cancel, except"
