,,,,,シヤ,,,,,,"purity, skill"
散,,,,サン バ,,,,ち.る ち.らす -ち.らす,,,"scatter, disperse, spend,"
,,,,,,,,ち.らかす ち.らかる,,,squander
静,,,,,セイ ジョウ,,しず- しず.か しず.まる,,,quiet
,,,,,シズ.メ
,婚,,,,コン,,,,,,marriage
,喜,,,,キ ヨロコ.バ,,,よろこ.ぶ,,,"rejoice, take pleasure in"
,浮,,,,フ ウ.カベ,,,う.く う.かれる う.かぶ む,,,"floating, float, rise to surface"
絶,,,,ゼツ,,,た.える た.やす た.つ,,,,"discontinue, beyond, sever, cut"
,,,,,,,,,,,"off, abstain, interrupt, suppress"
,幸,,,,コウ シアワ.,,,さいわ.い さち,,,"happiness, blessing, fortune"
押,,,,オウ オサ.エ,,,お.す お.し- お.っ- お.さえる,,,,"push, stop, check, subdue,"
,,,,,,,,,,,"attach, seize, weight, shove,"
,,,,,,,,,,,"press, seal, do in spite of"
倒,,,,トウ,,,たお.れる -だお.れ たお.す,,,,"overthrow, fall, collapse, drop,"
,,,,,,,,,,,break down
等,,,,トウ -,,,ひと.しい など,,,,"etc., and so forth, class (first),"
,,,,,,,,,,,"quality, equal, similar"
,老,,,,ロウ フ.ケ,,,お.いる,,,"old man, old age, grow old"
曲,,,,キョク マ.ゲ,,,ま.がる,,,,"bend, music, melody,"
,,,,,,,,,,,"composition, pleasure, injustice,"
,,,,,,,,,,,"fault, curve, crooked, perverse,"
,,,,,,,,,,,lean
払,,,,,フツ ヒツ ホツ -,,はら.う -はら.い,,,,"pay, clear out, prune, banish,"
,,,,,バラ.,,,,,,dispose of
,庭,,,,テイ ニ,,,,,,"courtyard, garden, yard"
