杯,,,,ハイ,,,さかずき,,,,"counter for cupfuls, wine glass,"
,,,,,,,,,,,"glass, toast"
疲,,,,ヒ,,,,つか.れる -づか.れ,,"exhausted, tire, weary"
,,,,,,,,つか.らす
,皆,,,,カイ ミン,,,みな,,,"all, everything"
鳴,,,,メイ ナ.ラ,,,な.く な.る,,,,"chirp, cry, bark, sound, ring,"
,,,,,,,,,,,"echo, honk"
,腹,,,,フク,,,はら,,,"abdomen, belly, stomach"
,煙,,,,エン ケム.,,,けむ.る けむり,,,smoke
,眠,,,,ミン ネム.,,,ねむ.る,,,"sleep, die, sleepy"
怖,,,,フ ホ,,,,こわ.い こわ.がる お.じる,,"dreadful, be frightened, fearful"
,,,,,,,,おそ.れる
,耳,,,,ジ ミ,,,,,,ear
頂,,,,チョウ,,,いただ.く いただき,,,,"place on the head, receive, top"
,,,,,,,,,,,"of head, top, summit, peak"
,箱,,,,ソウ,,,はこ,,,"box, chest, case, bin, railway car"
,晩,,,,バン,,,,,,"nightfall, night"
,寒,,,,カン サム.,,,,,,cold
,髪,,,,ハツ カ,,,,,,hair of the head
忙,,,,ボウ モウ,,,,いそが.しい せわ.しい,,"busy, occupied, restless"
,,,,,,,,おそ.れる うれえるさま
,才,,,,サイ,,,,,,"genius, years old, cubic shaku"
,靴,,,,カ,,,くつ,,,shoes
,恥,,,,チ,,,は.じる はじ は.じらう,,,"shame, dishonor"
