,逮,,,,タイ,,,,,,"apprehend, chase"
,迫,,,,ハク セマ.,,,,,,"urge, force, imminent, spur on"
,惑,,,,ワク,,,まど.う,,,"beguile, delusion, perplexity"
,崩,,,,ホウ,,,くず.れる -くず.れ くず.す,,,"crumble, die, demolish, level"
紀,,,,,,,,,,,"chronicle, account, narrative,"
,,,,,,,,,,,"history, annals, geologic period"
聴,,,,,チョウ テイ,,き.く,,,,"listen, headstrong, naughty,"
,,,,,ユル.,,,,,,careful inquiry
脱,,,,ダツ,,,ぬ.ぐ ぬ.げる,,,,"undress, removing, escape"
,,,,,,,,,,,"from, get rid of, be left out, take"
,,,,,,,,,,,off
,級,,,,キュ,,,,,,"class, rank, grade"
博,,,,ハク バ,,,,,,,"Dr., command, esteem, win"
,,,,,,,,,,,"acclaim, Ph.D., exposition, fair"
締,,,,テイ,,,,し.まる し.まり し.める -,,"tighten, tie, shut, lock, fasten"
,,,,,,,,し.め -じ.め
救,,,,キュウ,,,すく.う,,,,"salvation, save, help, rescue,"
,,,,,,,,,,,reclaim
執,,,,,シツ シュウ,,,,,,"tenacious, take hold, grasp, take"
,,,,,ト.,,,,,,to heart
房,,,,ボウ フ,,,,,,,"tassel, tuft, fringe, bunch, lock"
,,,,,,,,,,,"(hair), segment (orange), house,"
,,,,,,,,,,,room
撤,,,,テツ,,,,,,,"remove, withdraw, disarm,"
,,,,,,,,,,,"dismantle, reject, exclude"
,削,,,,サク ソ.,,,けず.る はつ.る,,,"plane, sharpen, whittle, pare"
,密,,,,ミツ,,,ひそ.か,,,"secrecy, density (pop),"
