,排,,,,ハ,,,,,,"repudiate, exclude, expel, reject"
,裕,,,,ユ,,,,,,"abundant, rich, fertile"
堅,,,,ケン -ガタ.,,,かた.い,,,,"strict, hard, solid, tough, tight,"
,,,,,,,,,,,reliable
訳,,,,ヤク,,,わけ,,,,"translate, reason, circumstance,"
,,,,,,,,,,,case
,芝,,,,シ シ,,,,,,"turf, lawn"
綱,,,,コウ,,,つな,,,,"hawser, class (genus), rope,"
,,,,,,,,,,,"cord, cable"
,典,,,,テン デ,,,,,,"code, ceremony, law, rule"
,賀,,,,,,,,,,"congratulations, joy"
扱,,,,ショウ,,,,あつか.る あつか.い,,"handle, entertain, thresh, strip"
,,,,,,,,あつか.う
顧,,,,コ カエリ.ミ,,,,,,,"look back, review, examine"
,,,,,,,,,,,"oneself, turn around"
,弘,,,,コウ グ ヒロ.,,,,,,"vast, broad, wide"
,看,,,,カン,,,み.る,,,"watch over, see"
,訟,,,,ショウ,,,,,,"sue, accuse"
,戒,,,,カイ,,,いまし.める,,,commandment
,祉,,,,シ,,,,,,"welfare, happiness"
,誉,,,,ヨ ホ.メ,,,ほま.れ,,,"reputation, praise, honor, glory"
,歓,,,,カン ヨロコ.,,,,,,"delight, joy"
奏,,,,ソウ カナ.デ,,,,,,,"play music, speak to a ruler,"
,,,,,,,,,,,complete
