,,,,,,,,,,,"symptom, collect, seek, refer to,"
,,,,,,,,,,,question
弾,,,,ダン タン,,,,ひ.く -ひ.き はず.む たま,,"bullet, twang, flip, snap"
,,,,,,,,はじ.く はじ.ける ただ.す
,,,,,,,,はじ.きゆみ
償,,,,ショウ,,,つぐな.う,,,,"reparation, make up for,"
,,,,,,,,,,,"recompense, redeem"
功,,,,コウ ク イサ,,,,,,,"achievement, merits, success,"
,,,,,,,,,,,"honor, credit"
拠,,,,キョ コ,,,よ.る,,,,"foothold, based on, follow,"
,,,,,,,,,,,therefore
,秘,,,,ヒ,,,ひ.める ひそ.か かく.す,,,"secret, conceal"
,拒,,,,キョ ゴ,,,こば.む,,,"repel, refuse, reject, decline"
刑,,,,ケ,,,,,,,"punish, penalty, sentence,"
,,,,,,,,,,,punishment
,塚,,,,チョウ -ヅ,,,つか,,,"hillock, mound"
致,,,,チ,,,いた.す,,,,"doth, do, send, forward, cause,"
,,,,,,,,,,,"exert, incur, engage"
繰,,,,ソウ ク.,,,,,,,"winding, reel, spin, turn (pages),"
,,,,,,,,,,,"look up, refer to"
尾,,,,ビ,,,お,,,,"tail, end, counter for fish, lower"
,,,,,,,,,,,slope of mountain
描,,,,ビョウ,,,えが.く か.く,,,,"sketch, compose, write, draw,"
,,,,,,,,,,,paint
,鈴,,,,レイ リン ス,,,,,,"small bell, buzzer"
盤,,,,バ,,,,,,,"tray, shallow bowl, platter, tub,"
,,,,,,,,,,,"board, phonograph record"
