督,,,,ト,,,,,,,"coach, command, urge, lead,"
,,,,,,,,,,,supervise
,授,,,,ジュ,,,さず.ける さず.かる,,,"impart, instruct, grant, confer"
催,,,,サイ,,,もよう.す もよお.す,,,,"sponsor, hold (a meeting), give"
,,,,,,,,,,,(a dinner)
,及,,,,キュウ オヨ.ボ,,,およ.ぶ およ.び および,,,"reach out, exert, exercise, cause"
,憲,,,,ケ,,,,,,"constitution, law"
離,,,,リ,,,はな.れる はな.す,,,,"detach, separation, disjoin,"
,,,,,,,,,,,digress
激,,,,ゲキ,,,はげ.しい,,,,"violent, get excited, enraged,"
,,,,,,,,,,,"chafe, incite"
摘,,,,テキ ツ.,,,,,,,"pinch, pick, pluck, trim, clip,"
,,,,,,,,,,,summarize
,系,,,,ケイ,,,,,,"lineage, system"
,批,,,,ヒ,,,,,,"criticism, strike"
郎,,,,,ロウ リョウ,,,,,"son, counter for sons"
,,,,,オト
健,,,,ケン スコ.ヤ,,,,,,,"healthy, health, strength,"
,,,,,,,,,,,persistence
,盟,,,,メイ,,,,,,"alliance, oath"
従,,,,ジュウ ショウ ジュ,,,したが.う したが.える より,,,,"accompany, obey, submit to,"
,,,,,,,,,,,"comply, follow, secondary,"
,,,,,,,,,,,"incidental, subordinate"
修,,,,,シュウ シュ,,おさ.める,,,,"discipline, conduct oneself well,"
,,,,,オサ.マ,,,,,,"study, master"
隊,,,,タイ,,,,,,,"regiment, party, company,"
,,,,,,,,,,,squad
