,瞭,,,,リョウ,,,あきらか,,,clear
,燎,,,,リョウ,,,かがりび,,,"burn, bonfire"
虞,,,,グ,,,おそれ,,,,"uneasiness, fear, anxiety,"
,,,,,,,,,,,concern
,柊,,,,シュ シュウ,,,ひいらぎ,,,holly
侑,,,,,ユウ ウ,,すす.める,,,urge to eat
,,,,,タス.ケ
,謁,,,,エツ,,,,,,"audience, audience (with king)"
斤,,,,,,,おの,,,,"axe, 1.32 lb, catty, counter for"
,,,,,,,,,,,loaves of bread
嵩,,,,,スウ シュウ,,かさ かさ.む,,,,"be aggravated, grow worse,"
,,,,,タカ.,,,,,,"grow bulky, swell"
,捺,,,,ナツ ダツ,,,さ.す お.す,,,"press, print, affix a seal, stamp"
,蓉,,,,ヨ,,,,,,lotus
,茉,,,,マツ バツ,,,,,,jasmine
,袈,,,,ケ カ,,,,,,a coarse camlet
,燿,,,,ヨウ,,,かがや.く ひかり,,,shine
,誼,,,,ギ,,,よしみ よい,,,"friendship, intimacy"
,冶,,,,ヤ イ.,,,,,,"melting, smelting"
,栞,,,,カン,,,しおり,,,"bookmark, guidebook"
墾,,,,コン,,,,,,,"ground-breaking, open up"
,,,,,,,,,,,farmland
,勁,,,,ケイ,,,つよ.い,,,strong
