添,,,,テン モ.,,,そ.える そ.う も.える,,,,"annexed, accompany, marry,"
,,,,,,,,,,,"suit, meet, satisfy, attach,"
,,,,,,,,,,,"append, garnish, imitate"
,冠,,,,カン カンム,,,,,,"crown, best, peerless"
,斜,,,,シャ,,,なな.め はす,,,"diagonal, slanting, oblique"
鏡,,,,,キョウ ケイ,,,,,,"mirror, speculum, barrel-head,"
,,,,,カガ,,,,,,round rice-cake offering
,聡,,,,ソウ ミミザト.,,,さと.い,,,"wise, fast learner"
,浪,,,,ロ,,,,,,"wandering, waves, billows"
,亜,,,,ア アシア ツ.,,,,,,"Asia, rank next, come after, -ous"
,覧,,,,ラン,,,み.る,,,"perusal, see"
,詐,,,,サ,,,いつわ.る,,,"lie, falsehood, deceive, pretend"
,壇,,,,ダン タン,,,,,,"podium, stage, rostrum, terrace"
,勲,,,,クン イサ,,,,,,"meritorious deed, merit"
,魔,,,,マ,,,,,,"witch, demon, evil spirit"
酬,,,,,シュウ シュ,,むく.いる,,,"repay, reward, retribution"
,,,,,トウ
,紫,,,,シ ムラサ,,,,,,"purple, violet"
,曙,,,,ショ,,,あけぼの,,,"dawn, daybreak"
,紋,,,,モ,,,,,,"family crest, figures"
,卸,,,,シャ,,,おろ.す おろし おろ.し,,,wholesale
奮,,,,フン,,,ふる.う,,,,"stirred up, be invigorated,"
,,,,,,,,,,,flourish
