,汽,,,,キ,,,,,,"vapor, steam"
,琢,,,,タク ミガ.,,,,,,polish
,匿,,,,トク,,,かくま.う,,,"hide, shelter, shield"
,襟,,,,キン,,,えり,,,"collar, neck, lapel"
,蛍,,,,ケイ,,,ほたる,,,"lightning-bug, firefly"
,蕉,,,,ショウ,,,,,,banana
,寡,,,,カ,,,,,,"widow, minority, few"
,琉,,,,リュウ ル,,,,,,lapis lazuli
,痢,,,,リ,,,,,,diarrhea
庸,,,,ヨ,,,,,,,"commonplace, ordinary,"
,,,,,,,,,,,employment
,朋,,,,ホウ,,,とも,,,"companion, friend"
,坑,,,,コウ,,,,,,"pit, hole"
,藍,,,,ラン,,,あい,,,indigo
,賊,,,,ゾク,,,,,,"burglar, rebel, traitor, robber"
,搾,,,,サク,,,しぼ.る,,,squeeze
,畔,,,,ハン ア,,,,,,"paddy ridge, levee"
,遼,,,,リョ,,,,,,distant
,唄,,,,バイ,,,うた うた.う,,,songs with samisen
孔,,,,コウ ア,,,,,,,"cavity, hole, slit, very, great,"
,,,,,,,,,,,exceedingly
