緯,,,,イ,,,よこいと ぬき,,,,"horizontal, woof, left & right,"
,,,,,,,,,,,latitude
,培,,,,バイ,,,つちか.う,,,"cultivate, foster"
,衰,,,,スイ,,,おとろ.える,,,"decline, wane, weaken"
,艇,,,,テイ,,,,,,"rowboat, small boat"
,屈,,,,クツ カガ.メ,,,かが.む,,,"yield, bend, flinch, submit"
径,,,,ケイ,,,,みち こみち さしわたし,,"diameter, path, method"
,,,,,,,,ただちに
,淡,,,,タン,,,あわ.い,,,"thin, faint, pale, fleeting"
,抽,,,,チュウ,,,ひき-,,,"pluck, pull, extract, excel"
,披,,,,ヒ,,,,,,"expose, open"
廷,,,,テ,,,,,,,"courts, imperial court,"
,,,,,,,,,,,government office
,錦,,,,キン ニシ,,,,,,"brocade, fine dress, honors"
,准,,,,ジュン,,,,,,"quasi-, semi-, associate"
,暑,,,,ショ,,,あつ.い,,,"sultry, hot, summer heat"
,磯,,,,キ イ,,,,,,"seashore, beach"
奨,,,,,ショウ ソウ,,,,,"exhort, urge, encourage"
,,,,,スス.メ
浸,,,,シン,,,ひた.す ひた.る,,,,"immersed, soak, dip, steep,"
,,,,,,,,,,,"moisten, wet, dunk"
,剰,,,,ジョウ,,,あまつさえ あま.り あま.る,,,"surplus, besides"
胆,,,,タン キ,,,,,,,"gall bladder, courage, pluck,"
,,,,,,,,,,,nerve
