,宵,,,,ショウ,,,よい,,,"wee hours, evening, early night"
妄,,,,モウ ボウ,,,みだ.りに,,,,"delusion, unnecessarily, without"
,,,,,,,,,,,"authority, reckless"
惇,,,,,シュン ジュン,,,,,"sincere, kind, considerate"
,,,,,トン アツ.
,脩,,,,シュウ ホジ,,,おさ.める なが.い,,,dried meat
,甫,,,,ホ フ ハジ.メ,,,,,,"for the first time, not until"
酌,,,,シャク,,,く.む,,,,"bar-tending, serving sake, the"
,,,,,,,,,,,"host, draw (water), ladle, scoop,"
,,,,,,,,,,,pump
,蚕,,,,サン テン,,,かいこ こ,,,silkworm
,嬉,,,,キ タノ.シ,,,うれ.しい,,,"glad, pleased, rejoice"
,蒼,,,,ソウ,,,あお.い,,,"blue, pale"
,暉,,,,キ カガ.ヤ,,,,,,"shine, light"
頒,,,,ハン,,,わか.つ,,,,"distribute, disseminate, partition,"
,,,,,,,,,,,understand
,只,,,,シ,,,ただ,,,"only, free, in addition"
,肢,,,,シ,,,,,,"limb, arms & legs"
,檀,,,,ダン タン,,,まゆみ,,,"cedar, sandlewood, spindle tree"
,凱,,,,ガイ カイ,,,かちどき やわらぐ,,,victory song
彗,,,,,スイ エ ケイ,,,,,comet
,,,,,セイ ホウ
,謄,,,,トウ,,,,,,"mimeograph, copy"
,梓,,,,シ,,,あずさ,,,catalpa tree
