,羊,,,,ヨウ ヒツ,,,,,,sheep
款,,,,カ,,,,,,,"goodwill, article, section,"
,,,,,,,,,,,"friendship, collusion"
,閲,,,,エツ,,,けみ.する,,,"review, inspection, revision"
,偵,,,,テイ,,,,,,spy
,喝,,,,カツ,,,,,,"hoarse, scold"
敢,,,,カン,,,あ.えて あ.えない あ.えず,,,,"daring, sad, tragic, pitiful, frail,"
,,,,,,,,,,,feeble
,胎,,,,タイ,,,,,,"womb, uterus"
,酵,,,,コウ,,,,,,fermentation
憤,,,,フン,,,いきどお.る,,,,"aroused, resent, be indignant,"
,,,,,,,,,,,anger
,豚,,,,トン,,,ぶた,,,"pork, pig"
,遮,,,,シャ,,,さえぎ.る,,,"intercept, interrupt, obstruct"
,扉,,,,ヒ,,,とびら,,,"front door, title page, front page"
,硫,,,,リュウ,,,,,,sulphur
,赦,,,,シャ,,,,,,"pardon, forgiveness"
窃,,,,セツ,,,ぬす.む ひそ.か,,,,"stealth, steal, secret, private,"
,,,,,,,,,,,hushed
,泡,,,,ホウ,,,あわ,,,"bubbles, foam, suds, froth"
,瑞,,,,ズイ スイ シル,,,みず-,,,congratulations
又,,,,ユウ,,,また また- また.の,,,,"or again, furthermore, on the"
,,,,,,,,,,,other hand
