,珠,,,,シュ タ,,,,,,"pearl, gem, jewel"
凝,,,,ギョウ,,,,こ.る こ.らす こご.らす,,,"congeal, freeze, stiff, be"
,,,,,,,,こご.らせる こご.る,,,absorbed in
,苗,,,,ビョウ ミョウ,,,なえ なわ,,,"seedling, sapling, shoot"
,獣,,,,ジュウ,,,けもの けだもの,,,"animal, beast"
哀,,,,アイ,,,あわ.れ あわ.れむ かな.しい,,,,"pathetic, grief, sorrow, pathos,"
,,,,,,,,,,,"pity, sympathize"
跳,,,,チョウ,,,は.ねる と.ぶ -と.び,,,,"hop, leap up, spring, jerk,"
,,,,,,,,,,,"prance, buck, splash, sputter,"
,,,,,,,,,,,snap
,匠,,,,ショウ,,,たくみ,,,"artisan, workman, carpenter"
垂,,,,,スイ,,た.れる た.らす た.れ -た.れ,,,"droop, suspend, hang, slouch"
,,,,,ナンナント.
蛇,,,,,ジャ ダ イ ヤ,,,,,"snake, serpent, hard drinker"
,,,,,ヘ
澄,,,,チョウ -ス.マ,,,す.む す.ます,,,,"lucidity, be clear, clear, clarify,"
,,,,,,,,,,,"settle, strain, look grave"
,縫,,,,ホウ ヌ.,,,,,,"sew, stitch, embroider"
,僧,,,,ソウ,,,,,,"Buddhist priest, monk"
眺,,,,チョウ,,,なが.める,,,,"stare, watch, look at, see,"
,,,,,,,,,,,scrutinize
亘,,,,,コウ カン,,わた.る,,,"span, request"
,,,,,モト.メ
,呉,,,,ゴ ク,,,く.れる,,,"give, do something for"
凡,,,,,ボン ハン,,およ.そ おうよ.そ,,,mediocre
,,,,,スベ.
