醜,,,,シュウ,,,みにく.い しこ,,,,"ugly, unclean, shame, bad"
,,,,,,,,,,,looking
,升,,,,ショウ マ,,,,,,"measuring box, 1.8 liter"
,殉,,,,ジュン,,,,,,"martyrdom, follow by resigning"
煩,,,,ハン ボン,,,わずら.う わずら.わす,,,,"anxiety, trouble, worry, pain, ill,"
,,,,,,,,,,,"annoy, nuisance, irksome"
,巴,,,,ハ ウズマ,,,ともえ,,,comma-design
,禎,,,,テイ タダ.シ,,,さいわ.い,,,happiness
,劾,,,,ガイ,,,,,,"censure, criminal investigation"
堕,,,,ダ,,,お.ちる くず.す くず.れる,,,,"degenerate, descend to, lapse"
,,,,,,,,,,,into
,租,,,,ソ,,,,,,"tariff, crop tax, borrowing"
稜,,,,リョウ ロウ,,,いつ かど,,,,"angle, edge, corner, power,"
,,,,,,,,,,,majesty
桟,,,,,サン セン,,,,,,"scaffold, cleat, frame, jetty, bolt"
,,,,,カケハ,,,,,,(door)
,倭,,,,ワ イ シタガ.,,,,,,"Yamato, ancient Japan"
,婿,,,,セイ,,,むこ,,,"bridegroom, son-in-law"
慕,,,,ボ,,,した.う,,,,"pining, yearn for, love dearly,"
,,,,,,,,,,,adore
,斐,,,,ヒ,,,,,,"beautiful, patterned"
,罷,,,,ヒ,,,まか.り- や.める,,,"quit, stop, leave, withdraw, go"
矯,,,,キョウ,,,た.める,,,,"rectify, straighten, correct,"
,,,,,,,,,,,"reform, cure, control, pretend,"
,,,,,,,,,,,falsify
