,繊,,,,セン,,,,,,"slender, fine, thin kimono"
,駒,,,,ク,,,こま,,,"pony, horse, colt"
虚,,,,キョ コ,,,むな.しい うつ.ろ,,,,"void, emptiness,"
,,,,,,,,,,,"unpreparedness, crack, fissure,"
,,,,,,,,,,,untruth
,霊,,,,レイ リョウ,,,たま,,,"spirits, soul"
,帳,,,,チョウ,,,とばり,,,"notebook, account book, album"
,悔,,,,カイ,,,く.いる く.やむ くや.しい,,,"repent, regret"
諭,,,,ユ サト.,,,,,,,"rebuke, admonish, charge,"
,,,,,,,,,,,"warn, persuade"
惨,,,,サン ザン,,,みじ.め いた.む むご.い,,,,"wretched, disaster, cruelty,"
,,,,,,,,,,,harsh
,虐,,,,ギャク,,,しいた.げる,,,"tyrannize, oppress"
翻,,,,ホン ハン,,,ひるがえ.る ひるがえ.す,,,,"flip, turn over, wave, flutter,"
,,,,,,,,,,,change (mind)
,墜,,,,ツイ,,,,,,"crash, fall (down)"
,沼,,,,ショウ,,,ぬま,,,"marsh, lake, bog, swamp, pond"
据,,,,キョ,,,す.える す.わる,,,,"set, lay a foundation, install,"
,,,,,,,,,,,"equip, squat down, sit down"
肥,,,,ヒ フト.,,,こ.える こえ こ.やす こ.やし,,,,"fertilizer, get fat, fertile, manure,"
,,,,,,,,,,,pamper
徐,,,,ジョ,,,おもむ.ろに,,,,"gradually, slowly, deliberately,"
,,,,,,,,,,,gently
,糖,,,,トウ,,,,,,sugar
,搭,,,,トウ,,,,,,"board, load (a vehicle), ride"
