偽,,,,ギ カ,,,いつわ.る にせ いつわ.り,,,,"falsehood, lie, deceive, pretend,"
,,,,,,,,,,,"counterfeit, forgery"
,較,,,,カク コウ,,,くら.べる,,,"contrast, compare"
覇,,,,ハ ハク,,,はたがしら,,,,"hegemony, supremacy,"
,,,,,,,,,,,"leadership, champion"
詳,,,,,ショウ,,くわ.しい,,,,"detailed, full, minute, accurate,"
,,,,,ツマビ.ラ,,,,,,well-informed
,抵,,,,テイ,,,,,,"resist, reach, touch"
脅,,,,キョウ,,,,おびや.かす おど.す,,"threaten, coerce"
,,,,,,,,おど.かす
茂,,,,モ シゲ.,,,,,,,"overgrown, grow thick, be"
,,,,,,,,,,,luxuriant
,犠,,,,ギ キ,,,いけにえ,,,sacrifice
,旗,,,,キ,,,はた,,,"national flag, banner, standard"
,距,,,,キョ,,,へだ.たる,,,long-distance
雅,,,,ガ ミヤ.,,,,,,,"gracious, elegant, graceful,"
,,,,,,,,,,,refined
飾,,,,ショク カザ.,,,かざ.る,,,,"decorate, ornament, adorn,"
,,,,,,,,,,,embellish
,網,,,,モウ ア,,,,,,"netting, network"
竜,,,,,リュウ リョウ,,たつ,,,"dragon, imperial"
,,,,,ロウ イ
,詩,,,,,,,,,,"poem, poetry"
繁,,,,ハン,,,しげ.る しげ.く,,,,"luxuriant, thick, overgrown,"
,,,,,,,,,,,"frequency, complexity, trouble"
