須,,,,,ス シュ,,,すべから.く すべし ひげ,,"ought, by all means, necessarily"
,,,,,モト.メ,,,まつ もち.いる
偏,,,,ヘン,,,かたよ.る,,,,"partial, side, left-side radical,"
,,,,,,,,,,,"inclining, biased"
,雰,,,,フン,,,,,,"atmosphere, fog"
遇,,,,グウ,,,あ.う,,,,"interview, treat, entertain,"
,,,,,,,,,,,"receive, deal with"
,諮,,,,シ,,,はか.る,,,consult with
,狭,,,,キョウ コウ,,,せま.い せば.める せば.まる,,,"cramped, narrow, contract, tight"
,卓,,,,タ,,,,,,"eminent, table, desk, high"
亀,,,,,キ キュウ キン,,,,,"tortoise, turtle"
,,,,,カ
,糧,,,,リョウ ロウ,,,かて,,,"provisions, food, bread"
,簿,,,,ボ,,,,,,"register, record book"
,炉,,,,ロ,,,いろり,,,"hearth, furnace, kiln, reactor"
牧,,,,ボク マ,,,,,,,"breed, care for, shepherd, feed,"
,,,,,,,,,,,pasture
殊,,,,シュ,,,こと,,,,"particularly, especially,"
,,,,,,,,,,,exceptionally
殖,,,,ショク フ.ヤ,,,ふ.える,,,,"augment, increase, multiply,"
,,,,,,,,,,,raise
,艦,,,,カン,,,,,,warship
輩,,,,ハイ,,,,-ばら やから やかい,,,"comrade, fellow, people,"
,,,,,,,,ともがら,,,companions
,穴,,,,ケツ ア,,,,,,"hole, aperture, slit, cave, den"
