,炊,,,,スイ -ダ.,,,た.く,,,"cook, boil"
,洪,,,,コ,,,,,,"deluge, flood, vast"
摂,,,,,セツ ショウ,,おさ.める かね.る,,,,"vicarious, surrogate, act in"
,,,,,ト.,,,,,,addition to
,飽,,,,ホウ ア.,,,あ.きる あ.かす,,,"sated, tired of, bored, satiate"
,冗,,,,ジョウ,,,,,,"superfluous, uselessness"
,桃,,,,トウ モ,,,,,,peach tree
,狩,,,,シュ -ガ.,,,か.る か.り,,,"hunt, raid, gather"
朱,,,,シュ ア,,,,,,,"vermilion, cinnabar, scarlet, red,"
,,,,,,,,,,,bloody
,渦,,,,カ,,,うず,,,"whirlpool, eddy, vortex"
,紳,,,,シ,,,,,,"sire, good belt, gentleman"
,枢,,,,スウ シュ,,,とぼそ からくり,,,"hinge, pivot, door"
,碑,,,,ヒ,,,いしぶみ,,,"tombstone, monument"
,鍛,,,,タン キタ.エ,,,,,,"forge, discipline, train"
,刀,,,,トウ ソ,,,かたな,,,"sword, saber, knife"
,鼓,,,,コ,,,つづみ,,,"drum, beat, rouse, muster"
裸,,,,ラ,,,はだか,,,,"naked, nude, uncovered,"
,,,,,,,,,,,partially clothed
,猶,,,,ユウ ユ,,,なお,,,"furthermore, still, yet"
,塊,,,,カイ ケ,,,かたまり つちくれ,,,"clod, lump, chink, clot, mass"
,旋,,,,セン,,,,,,"rotation, go around"
