秦,,,,シン ハ,,,,,,,"Manchu dynasty, name given to"
,,,,,,,,,,,naturalized foreigners
茅,,,,,ボウ ミョウ,,かや,,,miscanthus reed
,,,,,チガ
,藩,,,,ハン,,,,,,"clan, enclosure"
,沙,,,,サ シャ,,,すな よなげる,,,sand
,輔,,,,ホ フ タス.ケ,,,,,,help
,媒,,,,バイ,,,,,,"mediator, go-between"
,鶏,,,,ケイ,,,にわとり とり,,,chicken
,禅,,,,ゼン セン,,,しずか ゆず.る,,,"Zen, silent meditation"
嘱,,,,ショク,,,しょく.する たの.む,,,,"entrust, request, send a"
,,,,,,,,,,,message
胴,,,,ドウ,,,,,,,"trunk, torso, hull (ship), hub of"
,,,,,,,,,,,wheel
,迭,,,,テツ,,,,,,"transfer, alternation"
,挿,,,,ソウ,,,さ.す はさ.む,,,"insert, put in, graft, wear (sword)"
,嵐,,,,ラン アラ,,,,,,"storm, tempest"
,椎,,,,ツイ スイ ウ.,,,つち,,,"oak, mallet"
,絹,,,,ケン,,,きぬ,,,silk
陪,,,,バイ,,,,,,,"obeisance, follow, accompany,"
,,,,,,,,,,,attend on
,剖,,,,ボウ,,,,,,divide
譜,,,,フ,,,,,,,"musical score, music, note,"
,,,,,,,,,,,"staff, table, genealogy"
