,,,,チン トウ チ,,,,,,,"guns, tools, leaves or cakes of"
,,,,,,,,,,,"something, even number, 4th"
,,,,,,,,,,,calendar sig
,恒,,,,コウ ツネ,,,つね,,,"constancy, always"
,揚,,,,ヨウ ア.ガ,,,あ.げる -あ.げ,,,"hoist, fry in deep fat"
冒,,,,ボウ,,,おか.す,,,,"risk, face, defy, dare, damage,"
,,,,,,,,,,,assume (a name)
,之,,,,シ コ,,,の これ おいて ゆく,,,"of, this"
,倫,,,,リ,,,,,,"ethics, companion"
,陳,,,,チン ヒ.ネ,,,,,,"exhibit, state, relate, explain"
,憶,,,,オク,,,,,,"recollection, think, remember"
潜,,,,セン,,,,ひそ.む もぐ.る かく.れる,,,"submerge, conceal, hide, lower"
,,,,,,,,くぐ.る ひそ.める,,,"(voice), hush"
,梨,,,,リ ナ,,,,,,pear tree
仁,,,,ジン ニ ニ,,,,,,,"humanity, virtue, benevolence,"
,,,,,,,,,,,"charity, man, kernel"
,克,,,,コク カ.,,,,,,"overcome, kindly, skillfully"
,岳,,,,ガク タ,,,,,,"point, peak, mountain"
概,,,,ガイ,,,おうむ.ね,,,,"outline, condition,"
,,,,,,,,,,,"approximation, generally"
拘,,,,コウ,,,かか.わる,,,,"arrest, seize, concerned, adhere"
,,,,,,,,,,,"to, despite"
,墓,,,,ボ,,,はか,,,"grave, tomb"
黙,,,,モク ボク,,,だま.る もだ.す,,,,"silence, become silent, stop"
,,,,,,,,,,,"speaking, leave as is"
