JLPT N1 Kanji List
This is not a cumulative list. (It doesn't contain the kanji needed by JLPT N2 and
below).
Kanji,,,Onyomi,,,Kunyomi,,,English
,氏,,,シ,,,うじ -うじ,,,"family name, surname, clan"
統,,,トウ ホビ.,,,す.べる,,,,"overall, relationship, ruling,"
,,,,,,,,,,governing
保,,,ホ ホウ タモ.,,,,,,,"protect, guarantee, keep,"
,,,,,,,,,,"preserve, sustain, support"
,第,,,ダイ テイ,,,,,,"No., residence"
結,,,,ケツ ケチ,,むす.ぶ ゆ.う,,,,"tie, bind, contract, join, organize,"
,,,,ユ.ワエ,,,,,,"do up hair, fasten"
派,,,ハ,,,,,,,"faction, group, party, clique,"
,,,,,,,,,,"sect, school"
案,,,アン,,,つくえ,,,,"plan, suggestion, draft, ponder,"
,,,,,,,,,,"fear, proposition, idea,"
,,,,,,,,,,"expectation, bill, worry"
策,,,サク,,,,,,,"scheme, plan, policy, step,"
,,,,,,,,,,means
基,,,キ モト,,,もと,,,,"fundamentals, radical (chem),"
,,,,,,,,,,"counter for machines,"
,,,,,,,,,,foundation
,価,,,カ ケ,,,あたい,,,"value, price"
提,,,,テイ チョウ,,さ.げる,,,,"propose, take along, carry in"
,,,,ダイ,,,,,,hand
挙,,,キョ コゾ.,,,あ.げる あ.がる,,,,"raise, plan, project, behavior,"
,,,,,,,,,,actions
