,憩,,,,ケイ,,,いこ.い いこ.う,,,"recess, rest, relax, repose"
,媛,,,,エン,,,ひめ,,,"beautiful woman, princess"
溝,,,,コウ ミ,,,,,,,"gutter, ditch, sewer, drain,"
,,,,,,,,,,,10**32
恭,,,,,キョウ,,,,,"respect, reverent"
,,,,,ウヤウヤ.シ
,刈,,,,ガイ カイ カ.,,,,,,"reap, cut, clip, trim, prune"
,睡,,,,スイ,,,,,,"drowsy, sleep, die"
,錯,,,,サク シャク,,,,,,"confused, mix, be in disorder"
,伯,,,,ハ,,,,,,"chief, count, earl, uncle, Brazil"
,笹,,,,サ,,,,,,bamboo grass
,穀,,,,コ,,,,,,"cereals, grain"
,陵,,,,リョウ,,,みささぎ,,,"mausoleum, imperial tomb"
,霧,,,,ム ボウ ブ,,,きり,,,"fog, mist"
,魂,,,,コン,,,たましい たま,,,"soul, spirit"
,弊,,,,ヘイ,,,,,,"abuse, evil, vice, breakage"
,妃,,,,ヒ キサ,,,,,,"queen, princess"
,舶,,,,ハク,,,,,,"liner, ship"
,餓,,,,ガ,,,う.える,,,"starve, hungry, thirst"
窮,,,,キュウ キョウ,,,,きわ.める きわ.まる,,,"hard up, destitute, suffer,"
,,,,,,,,きわ.まり きわ.み,,,"perplexed, cornered"
,掌,,,,ショウ,,,てのひら たなごころ,,,"manipulate, rule, administer,"
