,翼,,,,ヨク,,,つばさ,,,"wing, plane, flank"
,潟,,,,セキ -ガ,,,かた,,,lagoon
,敵,,,,テキ,,,かたき かな.う,,,"enemy, foe, opponent"
,魅,,,,ミ,,,,,,"fascination, charm, bewitch"
,嫌,,,,ケン ゲン,,,きら.う きら.い いや,,,"dislike, detest, hate"
斉,,,,セイ サイ ハヤ,,,,そろ.う ひと.しい ひと.しく,,,"adjusted, alike, equal, similar"
,,,,,,,,あたる,,,variety of
,敷,,,,フ -シ.,,,し.く,,,"spread, pave, sit, promulgate"
擁,,,,ヨウ,,,,,,,"hug, embrace, possess, protect,"
,,,,,,,,,,,lead
,圏,,,,ケン,,,かこ.い,,,"sphere, circle, radius, range"
,酸,,,,サン,,,す.い,,,"acid, bitterness, sour, tart"
,罰,,,,バツ バチ ハツ,,,ばっ.する,,,"penalty, punishment"
,滅,,,,メツ,,,ほろ.びる ほろ.ぶ ほろ.ぼす,,,"destroy, ruin, overthrow, perish"
,礎,,,,ソ イシズ,,,,,,"cornerstone, foundation stone"
腐,,,,フ,,,,くさ.る -くさ.る くさ.れる,,"rot, decay, sour"
,,,,,,,,くさ.れ くさ.らす くさ.す
脚,,,,,キャク キャ,,,,,"skids, leg, undercarriage"
,,,,,カク ア
,潮,,,,チョウ ウシ,,,しお,,,"tide, salt water, opportunity"
,梅,,,,バイ,,,うめ,,,plum
尽,,,,ジン サン,,,,つ.くす -つ.くす -づ.くし -,,,"exhaust, use up, run out of,"
,,,,,,,,つ.く -づ.く -ず.く つ.きる,,,"befriend, serve"
