独,,,,,ドク トク,,,,,,"single, alone, spontaneously,"
,,,,,ヒト.,,,,,,Germany
宮,,,,,キュウ グウ ク,,,,,,"Shinto shrine, constellations,"
,,,,,クウ ミ,,,,,,"palace, princess"
率,,,,,ソツ リツ,,ひき.いる,,,,"ratio, rate, proportion, %,"
,,,,,シュツ,,,,,,"coefficient, factor"
,衛,,,,エイ,,,,,,"defense, protection"
張,,,,チョウ -バ.,,,は.る -は.り,,,,"lengthen, counter for bows &"
,,,,,,,,,,,"stringed instruments, stretch,"
,,,,,,,,,,,"spread, put up (tent)"
監,,,,カ,,,,,,,"oversee, official, govt office,"
,,,,,,,,,,,"rule, administer"
,環,,,,カン,,,,,,"ring, circle, link, wheel"
,審,,,,シン ツブサ.,,,つまび.らか,,,"hearing, judge, trial"
義,,,,,,,,,,,"righteousness, justice, morality,"
,,,,,,,,,,,"honor, loyalty, meaning"
訴,,,,ソ,,,うった.える,,,,"accusation, sue, complain of"
,,,,,,,,,,,"pain, appeal to"
株,,,,シュ,,,かぶ,,,,"stocks, stump, shares, stock,"
,,,,,,,,,,,counter for small plants
,姿,,,,シ スガ,,,,,,"figure, form, shape"
,閣,,,,カク,,,,,,"tower, tall building, palace"
衆,,,,シュウ シュ,,,おお.い,,,,"masses, great numbers,"
,,,,,,,,,,,"multitude, populace"
,評,,,,ヒョウ,,,,,,"evaluate, criticism, comment"
,影,,,,エイ,,,かげ,,,"shadow, silhouette, phantom"
