,詢,,,,ジュン シュン,,,はか.る まこと,,,consult with
采,,,,サイ,,,と.る いろどり,,,,"dice, form, appearance, take,"
,,,,,,,,,,,coloring
,紗,,,,サ シャ ウスギ,,,,,,"gauze, gossamer"
賦,,,,フ,,,,,,,"levy, ode, prose, poem, tribute,"
,,,,,,,,,,,installment
,眸,,,,ボウ ム,,,ひとみ,,,pupil of the eye
,玖,,,,キュウ,,,,,,"beautiful black jewel, nine"
,弐,,,,ニ ジ,,,ふた.つ そえ,,,"II, two, second"
,錘,,,,スイ,,,つむ おもり,,,"weight, plumb bob, sinker"
諄,,,,シュン,,,,ひちくど.い くど.い,,tedious
,,,,,,,,くどくど ねんご.ろ
,倖,,,,コウ,,,しあわ.せ さいわ.い,,,"happiness, luck"
,痘,,,,トウ,,,,,,"pox, smallpox"
,笙,,,,ショウ ソウ,,,ふえ,,,a reed instrument
侃,,,,カン ツヨ.,,,,,,,"strong, just, righteous, peace-"
,,,,,,,,,,,loving
,裟,,,,サ シャ,,,,,,Buddhist surplice
,洵,,,,ジュン シュン,,,の.ぶ まこと.に,,,"alike, truth"
,爾,,,,ジ ニ ノ,,,なんじ しかり その,,,"you, thou, second person"
,耗,,,,モウ コウ カウ,,,,,,decrease
,昴,,,,コウ ボウ,,,すばる,,,the Pleiades
